B,P,C,X,N,Time
5,1,1,0,1,10.256
5,1,5,0,1,10.258
5,5,1,0,1,2.248
5,5,5,0,1,2.204
10,1,1,0,1,10.362
10,1,5,0,1,10.394
10,1,10,0,1,10.306
10,5,1,0,1,2.224
10,5,5,0,1,2.27
10,5,10,0,1,2.276
10,10,1,0,1,1.21
10,10,5,0,1,1.248
10,10,10,0,1,1.146
5,1,1,200,1,10.43
5,1,5,200,1,10.362
5,5,1,200,1,10.328
5,5,5,200,1,2.18
10,1,1,200,1,10.334
10,1,5,200,1,10.37
10,1,10,200,1,10.384
10,5,1,200,1,10.258
10,5,5,200,1,2.292
10,5,10,200,1,2.31
10,10,1,200,1,10.28
10,10,5,200,1,2.31
10,10,10,200,1,1.236
5,1,1,400,1,20.236
5,1,5,400,1,10.33
5,5,1,400,1,20.35
5,5,5,400,1,4.168
10,1,1,400,1,20.286
10,1,5,400,1,10.33
10,1,10,400,1,10.37
10,5,1,400,1,20.302
10,5,5,400,1,4.334
10,5,10,400,1,2.308
10,10,1,400,1,20.224
10,10,5,400,1,4.2
10,10,10,400,1,2.206
